"tumor_rad [mm]","Freq [GHz]","dB(St(pin_T1,pin_T1)) []"
0.5,17.8625,-13.002056622515
0.5,17.91,-12.0857703507706
0.5,17.9575,-11.3901739177772
0.5,18.005,-11.0871451782249
0.5,18.0525,-11.0206977102946
0.5,18.1,-11.0852679695324
0.5,18.1475,-11.2235544150728
0.5,18.195,-11.4036188060727
0.5,18.2425,-11.60620602112
0.5,18.29,-11.8185700060089
0.5,18.3375,-12.0314490803189
0.5,18.385,-12.237550295172
0.5,18.4325,-12.4307898784177
0.5,18.48,-12.605935426551
0.5,18.5275,-12.7584724516362
0.5,18.575,-12.8845969262639
0.5,18.6225,-12.9812710055472
0.5,18.67,-13.0462961347299
0.5,18.7175,-13.0783684972324
0.5,18.765,-13.0770920652159
0.5,18.8125,-13.0429362718817
0.5,18.86,-12.9771377534514
0.5,18.9075,-12.8815565427805
0.5,18.955,-12.7585043641133
0.5,19.0025,-12.6105651820151
0.5,19.05,-12.4404262545943
0.5,19.0975,-12.2507331005416
0.5,19.145,-12.0439758635284
0.5,19.1925,-11.8224091077399
0.5,19.24,-11.5880030228358
0.5,19.2875,-11.3424216187752
0.5,19.335,-11.0870225543069
0.5,19.3825,-10.8228733540793
0.5,19.43,-10.5507794873323
0.5,19.4775,-10.2713207427834
0.5,19.525,-9.98489328785157
0.5,19.5725,-9.69175559775336
0.5,19.62,-9.39207701023363
0.5,19.6675,-9.0859879855118
0.5,19.715,-8.77363123949127
0.5,19.7625,-8.45521280092198
0.5,19.81,-8.13105176168428
0.5,19.8575,-7.8016270957336
0.5,19.905,-7.4676194790852
0.5,19.9525,-7.12994562389766
0.5,20,-6.78978232773495
1,1,-0.000653743001553726
1,1.0475,-0.000631791320756465
1,1.095,-0.00061731152194297
1,1.1425,-0.000609390146864031
1,1.19,-0.000607281162662797
1,1.2375,-0.000610371466846014
1,1.285,-0.000618154319438895
1,1.3325,-0.000630208722345202
1,1.38,-0.000646183284089289
1,1.4275,-0.000665783503806773
1,1.475,-0.000688761678457361
1,1.5225,-0.000714908838421133
1,1.57,-0.000744048262650654
1,1.6175,-0.000776030232356279
1,1.665,-0.000810727762147941
1,1.7125,-0.000848033107453551
1,1.76,-0.000887854892111881
1,1.8075,-0.000930115734268202
1,1.855,-0.000974750274830549
1,1.9025,-0.00102170353289931
1,1.95,-0.00107092952801036
1,1.9975,-0.00112239012119156
1,2.045,-0.00117605403634985
1,2.0925,-0.00123189603082991
1,2.14,-0.00128989618993093
1,2.1875,-0.00135003932493864
1,2.235,-0.00141231445770631
1,2.2825,-0.00147671437819059
1,2.33,-0.00154323526342584
1,2.3775,-0.00161187634859129
1,2.425,-0.00168263964229351
1,2.4725,-0.00175552967961171
1,2.52,-0.00183055330738754
1,2.5675,-0.00190771949716998
1,2.615,-0.00198703918203305
1,2.6625,-0.00206852511391231
1,2.71,-0.00215219173875131
1,2.7575,-0.00223805508710782
1,2.805,-0.00232613267819
1,2.8525,-0.00241644343566491
1,2.9,-0.00250900761370495
1,2.9475,-0.00260384673209894
1,2.995,-0.00270098351930144
1,3.0425,-0.00280044186244647
1,3.09,-0.00290224676365453
1,3.1375,-0.0030064243017613
1,3.185,-0.00311300159902558
1,3.2325,-0.0032220067921703
1,3.28,-0.00333346900736837
1,3.3275,-0.00344741833876344
1,3.375,-0.00356388583014987
1,3.4225,-0.00368290345953989
1,3.47,-0.0038045041263396
1,3.5175,-0.00392872164089
1,3.565,-0.00405559071621404
1,3.6125,-0.00418514696169509
1,3.66,-0.00431742687866108
1,3.7075,-0.00445246785763817
1,3.755,-0.00459030817715456
1,3.8025,-0.0047309870040833
1,3.85,-0.00487454439529653
1,3.8975,-0.00502102130067884
1,3.945,-0.00517045956730893
1,3.9925,-0.00532290194488619
1,4.04,-0.0054783920921931
1,4.0875,-0.00563697458468453
1,4.135,-0.00579869492306713
1,4.1825,-0.00596359954291856
1,4.23,-0.00613173582522911
1,4.2775,-0.00630315210792108
1,4.325,-0.00647789769826719
1,4.3725,-0.00665602288626252
1,4.42,-0.00683757895883839
1,4.4675,-0.00702261821502293
1,4.515,-0.00721119398194253
1,4.5625,-0.00740336063174775
1,4.61,-0.00759917359939367
1,4.6575,-0.00779868940130413
1,4.705,-0.00800196565497555
1,4.7525,-0.00820906109940099
1,4.8,-0.00842003561647738
1,4.8475,-0.008634950253297
1,4.895,-0.00885386724536254
1,4.9425,-0.0090768500407659
1,4.99,-0.00930396332532468
1,5.0375,-0.00953527304870904
1,5.085,-0.00977084645153928
1,5.1325,-0.0100107520935409
1,5.18,-0.0102550598827214
1,5.2275,-0.0105038411056167
1,5.275,-0.0107571684586404
1,5.3225,-0.0110151160805555
1,5.37,-0.0112777595860674
1,5.4175,-0.0115451761006471
1,5.465,-0.0118174442965134
1,5.5125,-0.0120946444298986
1,5.56,-0.0123768583795685
1,5.6075,-0.0126641696866762
1,5.655,-0.0129566635959674
1,5.7025,-0.0132544270983417
1,5.75,-0.0135575489749313
1,5.7975,-0.0138661198425592
1,5.845,-0.0141802322007872
1,5.8925,-0.0144999804805201
1,5.94,-0.0148254610942146
1,5.9875,-0.0151567724877447
1,6.035,-0.0154940151940285
1,6.0825,-0.0158372918883993
1,6.13,-0.0161867074457867
1,6.1775,-0.0165423689998605
1,6.225,-0.0169043860040364
1,6.2725,-0.0172728702945633
1,6.32,-0.0176479361556438
1,6.3675,-0.0180297003867422
1,6.415,-0.0184182823720817
1,6.4625,-0.0188138041524393
1,6.51,-0.0192163904993028
1,6.5575,-0.0196261689915126
1,6.605,-0.0200432700943711
1,6.6525,-0.0204678272414098
1,6.7,-0.0208999769188574
1,6.7475,-0.0213398587528727
1,6.795,-0.0217876155996975
1,6.8425,-0.0222433936387808
1,6.89,-0.0227073424690147
1,6.9375,-0.0231796152081318
1,6.985,-0.0236603685954372
1,7.0325,-0.0241497630979906
1,7.08,-0.0246479630202517
1,7.1275,-0.0251551366174659
1,7.175,-0.0256714562128353
1,7.2225,-0.0261970983185838
1,7.27,-0.0267322437611136
1,7.3175,-0.0272770778103809
1,7.365,-0.0278317903136256
1,7.4125,-0.0283965758336146
1,7.46,-0.0289716337915807
1,7.5075,-0.0295571686149897
1,7.555,-0.0301533898903495
1,7.6025,-0.0307605125212236
1,7.65,-0.0313787568916206
1,7.6975,-0.0320083490350081
1,7.745,-0.0326495208090722
1,7.7925,-0.0333025100765365
1,7.84,-0.033967560892189
1,7.8875,-0.0346449236963417
1,7.935,-0.0353348555150247
1,7.9825,-0.0360376201671119
1,8.03,-0.0367534884786293
1,8.0775,-0.037482738504573
1,8.125,-0.038225655758431
1,8.1725,-0.0389825334497969
1,8.22,-0.0397536727302759
1,8.2675,-0.0405393829480786
1,8.315,-0.041339981911593
1,8.3625,-0.0421557961622894
1,8.41,-0.0429871612572525
1,8.4575,-0.0438344220618462
1,8.505,-0.0446979330527083
1,8.5525,-0.0455780586316562
1,8.6,-0.0464751734507704
1,8.6475,-0.0473896627491846
1,8.695,-0.0483219227019656
1,8.7425,-0.0492723607816057
1,8.79,-0.0502413961325587
1,8.8375,-0.051229459959364
1,8.885,-0.0522369959288269
1,8.9325,-0.0532644605869107
1,8.98,-0.0543123237907433
1,9.0275,-0.0553810691564715
1,9.075,-0.0564711945235036
1,9.1225,-0.0575832124357626
1,9.17,-0.0587176506406626
1,9.2175,-0.0598750526064247
1,9.265,-0.0610559780584927
1,9.3125,-0.0622610035357613
1,9.36,-0.0634907229673599
1,9.4075,-0.0647457482708156
1,9.455,-0.0660267099723939
1,9.5025,-0.0673342578504839
1,9.55,-0.0686690616121245
1,9.5975,-0.0700318115367444
1,9.645,-0.0714232192928403
1,9.6925,-0.0728440185812736
1,9.74,-0.0742949659591267
1,9.7875,-0.075776841629649
1,9.835,-0.0772904502727315
1,9.8825,-0.0788366219060777
1,9.93,-0.0804162127782331
1,9.9775,-0.0820301062944978
1,10.025,-0.0836792139769541
1,10.0725,-0.0853644764596434
1,10.12,-0.087086864520084
1,10.1675,-0.0888473801482819
1,10.215,-0.0906470576543056
1,10.2625,-0.0924869648156649
1,10.31,-0.0943682040654891
1,10.3575,-0.0962919137226591
1,10.405,-0.0982592692649044
1,10.4525,-0.100271484645793
1,10.5,-0.102329813656576
1,10.5475,-0.104435551333629
1,10.595,-0.106590035412149
1,10.6425,-0.108794647826669
1,10.69,-0.111050816258586
1,10.7375,-0.113360015730961
1,10.785,-0.115723770250206
1,10.8325,-0.118143654494264
1,10.88,-0.120621295546255
1,10.9275,-0.123158374672235
1,10.975,-0.125756629141038
1,11.0225,-0.128417854083596
1,11.07,-0.131143904388258
1,11.1175,-0.133936696627747
1,11.165,-0.136798211012329
1,11.2125,-0.139730493362381
1,11.26,-0.142735657092147
1,11.3075,-0.145815885194675
1,11.355,-0.148973432215843
1,11.4025,-0.152210626202972
1,11.45,-0.155529870610813
1,11.4975,-0.158933646144242
1,11.545,-0.162424512513376
1,11.5925,-0.166005110072222
1,11.64,-0.169678161306957
1,11.6875,-0.173446472133779
1,11.735,-0.177312932959585
1,11.7825,-0.181280519450424
1,11.83,-0.185352292943692
1,11.8775,-0.189531400429268
1,11.925,-0.193821074012613
1,11.9725,-0.19822462975898
1,12.02,-0.202745465802159
1,12.0675,-0.207387059583209
1,12.115,-0.212152964064904
1,12.1625,-0.217046802745502
1,12.21,-0.222072263271431
1,12.2575,-0.22723308942286
1,12.305,-0.232533071219316
1,12.3525,-0.237976032865914
1,12.4,-0.243565818235703
1,12.4475,-0.249306273563031
1,12.495,-0.25520122701037
1,12.5425,-0.261254464772322
1,12.59,-0.267469703403623
1,12.6375,-0.273850558113673
1,12.685,-0.280400506874181
1,12.7325,-0.287122850359207
1,12.78,-0.294020668005875
1,12.8275,-0.301096770885398
1,12.875,-0.308353652653299
1,12.9225,-0.315793440661339
1,12.97,-0.323417850428649
1,13.0175,-0.331228148159962
1,13.065,-0.339225127939562
1,13.1125,-0.347409112680321
1,13.16,-0.355779990888895
1,13.2075,-0.364337304759624
1,13.255,-0.373080408828434
1,13.3025,-0.382008721975675
1,13.35,-0.391122098209825
1,13.3975,-0.400421342211676
1,13.445,-0.409908892406633
1,13.4925,-0.419589685265718
1,13.54,-0.429472197364674
1,13.5875,-0.439569634670849
1,13.635,-0.449901201299619
1,13.6825,-0.460493335205543
1,13.73,-0.471380752842945
1,13.7775,-0.482607110521161
1,13.825,-0.494225082421261
1,13.8725,-0.506295689193126
1,13.92,-0.518886795114941
1,13.9675,-0.532070820539187
1,14.015,-0.545921866592358
1,14.0625,-0.56051258308526
1,14.11,-0.575911187451537
1,14.1575,-0.592179034318354
1,14.205,-0.609369039918376
1,14.2525,-0.627525109074706
1,14.3,-0.646682539117981
1,14.3475,-0.666869229711201
1,14.395,-0.688107440032454
1,14.4425,-0.710415812881946
