Freq [GHz],s11(dB)
24.22,-0.977457295
24.28,-0.968941046
24.34,-0.960523746
24.4,-0.952197811
24.46,-0.943955946
24.52,-0.935791133
24.58,-0.927696616
24.64,-0.919665892
24.7,-0.911692696
24.76,-0.903770993
24.82,-0.895894973
24.88,-0.888059036
24.94,-0.88025779
25,-0.872486042
