Freq [GHz],S11 (dB),Phase
13.3025,-0.571855001,-0.593780469
13.35,-0.587468571,-0.597783843
13.3975,-0.603408808,-0.601801129
13.445,-0.619680101,-0.605833237
13.4925,-0.636287147,-0.609881048
13.54,-0.653234992,-0.613945425
13.5875,-0.670529057,-0.61802721
13.635,-0.688175172,-0.622127231
13.6825,-0.706179612,-0.626246301
13.73,-0.724549126,-0.630385222
13.7775,-0.743290972,-0.634544778
13.825,-0.762412941,-0.638725736
13.8725,-0.781923397,-0.642928838
13.92,-0.801831294,-0.647154799
13.9675,-0.822146204,-0.651404293
14.015,-0.842878333,-0.655677943
14.0625,-0.864038528,-0.659976307
14.11,-0.885638269,-0.664299854
14.1575,-0.907689637,-0.668648936
14.205,-0.930205241,-0.673023755
14.2525,-0.953198088,-0.677424313
14.3,-0.976681348,-0.681850348
14.3475,-1.000667968,-0.686301249
14.395,-1.025170019,-0.690775941
14.4425,-1.050197619,-0.695272733
14.49,-1.075757137,-0.69978911
14.5375,-1.101848171,-0.70432147
14.585,-1.128458428,-0.708864783
14.6325,-1.155554932,-0.713412216
14.68,-1.183068815,-0.717954829
14.7275,-1.210869053,-0.722481726
14.775,-1.238718178,-0.726981735
14.8225,-1.266203404,-0.731449365
14.87,-1.292654468,-0.735901443
14.9175,-1.317143226,-0.740415287
14.965,-1.338892888,-0.745190117
15.0125,-1.358601549,-0.750560938
15.06,-1.379907336,-0.756778526
15.1075,-1.407554645,-0.763636006
15.155,-1.442851878,-0.770585217
15.2025,-1.48347125,-0.77726115
15.25,-1.526746369,-0.783621724
15.2975,-1.571219428,-0.789767448
15.345,-1.61640709,-0.79580704
15.3925,-1.662301056,-0.801820023
15.44,-1.709075884,-0.807858634
15.4875,-1.756965489,-0.813956857
15.535,-1.806221616,-0.820137733
15.5825,-1.857106119,-0.826418083
15.63,-1.90989658,-0.832811342
15.6775,-1.964897801,-0.839329247
15.725,-2.022457246,-0.845982812
15.7725,-2.082984972,-0.852782857
15.82,-2.146980112,-0.859740189
15.8675,-2.215067515,-0.866865375
15.915,-2.288050317,-0.874167944
15.9625,-2.366987976,-0.881654499
16.01,-2.453315662,-0.889324748
16.0575,-2.549032441,-0.897163203
16.105,-2.657006589,-0.905121594
16.1525,-2.781484062,-0.913080364
16.2,-2.928949661,-0.920760409
16.2475,-3.10956595,-0.927509001
16.295,-3.339292527,-0.931746688
16.3425,-3.640952493,-0.929461971
16.39,-4.029514379,-0.910244614
16.4375,-4.400834404,-0.85155206
16.485,-4.231832877,-0.749977654
16.5325,-3.314308362,-0.710130955
16.58,-2.661289299,-0.758093045
16.6275,-2.475946051,-0.815861767
16.675,-2.496590937,-0.859794025
16.7225,-2.586922259,-0.892167607
16.77,-2.699540806,-0.917238514
16.8175,-2.818921048,-0.937835338
16.865,-2.940207611,-0.955653929
16.9125,-3.062213436,-0.971723877
16.96,-3.1850475,-0.986697624
17.0075,-3.309278742,-1.00101184
17.055,-3.435639418,-1.01497805
17.1025,-3.564930349,-1.028835749
17.15,-3.698008585,-1.04278573
17.1975,-3.835815746,-1.057013216
17.245,-3.979436528,-1.071706389
17.2925,-4.130193435,-1.087074081
17.34,-4.289799058,-1.103365746
17.3875,-4.460610372,-1.120897105
17.435,-4.646074705,-1.140085617
17.4825,-4.851553653,-1.161500792
17.53,-5.085931835,-1.18593273
17.5775,-5.364947585,-1.21446642
