Freq [GHz],S11 (dB),Phase
4.5375,-0.556335226,-2.411512327
4.55,-0.519139143,-2.464932106
4.5625,-0.485390098,-2.514545518
4.575,-0.454745266,-2.560717975
4.5875,-0.426889298,-2.603776348
4.6,-0.401535566,-2.644012632
4.6125,-0.37842571,-2.681687524
4.625,-0.357328198,-2.717033796
4.6375,-0.33803635,-2.750259396
4.65,-0.320366149,-2.781550267
4.6625,-0.304154003,-2.811072863
4.675,-0.28925459,-2.838976404
4.6875,-0.275538844,-2.865394855
4.7,-0.262892096,-2.890448686
4.7125,-0.251212412,-2.91424641
4.725,-0.240409093,-2.936885944
4.7375,-0.230401349,-2.958455796
4.75,-0.221117127,-2.979036115
4.7625,-0.212492082,-2.998699607
4.775,-0.204468666,-3.017512344
4.7875,-0.196995333,-3.035534474
4.8,-0.190025849,-3.052820848
4.8125,-0.183518674,-3.069421569
4.825,-0.177436432,-3.085382486
4.8375,-0.171745442,-3.100745616
4.85,-0.166415305,-3.115549533
4.8625,-0.161418546,-3.129829704
4.875,-0.156730295,3.139566519
4.8875,-0.15232801,3.126238398
4.9,-0.14819123,3.113343419
4.9125,-0.144301357,3.100855845
4.925,-0.140641471,3.088751837
4.9375,-0.137196153,3.07700928
4.95,-0.133951341,3.065607632
4.9625,-0.130894195,3.054527785
4.975,-0.12801298,3.043751943
4.9875,-0.12529696,3.033263507
5,-0.122736308,3.023046978
5.0125,-0.120322018,3.013087864
5.025,-0.118045838,3.003372597
5.0375,-0.115900198,2.993888458
5.05,-0.113878152,2.984623512
5.0625,-0.111973328,2.975566542
5.075,-0.110179878,2.966706994
5.0875,-0.108492438,2.958034928
5.1,-0.106906089,2.949540966
5.1125,-0.105416322,2.941216254
5.125,-0.104019009,2.933052418
5.1375,-0.102710378,2.925041534
5.15,-0.101486983,2.917176085
5.1625,-0.100345689,2.909448939
5.175,-0.099283649,2.901853318
5.1875,-0.098298286,2.894382768
5.2,-0.097387283,2.887031141
5.2125,-0.096548564,2.879792566
5.225,-0.095780287,2.872661432
5.2375,-0.095080832,2.865632367
5.25,-0.094448793,2.85870022
5.2625,-0.093882972,2.851860042
5.275,-0.093382374,2.845107073
5.2875,-0.092946201,2.838436721
5.3,-0.092573853,2.831844554
5.3125,-0.092264925,2.82532628
5.325,-0.092019205,2.818877738
5.3375,-0.091836683,2.812494881
5.35,-0.091717547,2.806173767
5.3625,-0.091662194,2.799910544
5.375,-0.091671234,2.793701437
5.3875,-0.091745504,2.787542739
5.4,-0.091886076,2.781430796
5.4125,-0.092094276,2.775361994
5.425,-0.092371702,2.769332746
5.4375,-0.092720249,2.763339481
5.45,-0.093142139,2.757378623
5.4625,-0.093639954,2.751446581
5.475,-0.094216691,2.745539727
5.4875,-0.094875811,2.739654375
5.5,-0.095621321,2.733786762
5.5125,-0.096457868,2.727933015
5.525,-0.097390867,2.722089119
5.5375,-0.09842668,2.716250877
5.55,-0.099572847,2.710413853
5.5625,-0.100838427,2.704573309
5.575,-0.102234482,2.698724108
5.5875,-0.103774798,2.692860595
5.6,-0.105476995,2.686976419
5.6125,-0.107364287,2.681064283
5.625,-0.109468399,2.675115571
5.6375,-0.111834594,2.669119781
5.65,-0.114530825,2.663063629
5.6625,-0.117665347,2.656929619
5.675,-0.121423044,2.650693716
5.6875,-0.12614662,2.644321738
5.7,-0.132535826,2.637765089
5.7125,-0.142187603,2.63096549
5.725,-0.159145108,2.623945983
5.7375,-0.192804352,2.617543444
5.75,-0.235316524,2.61599679
5.7625,-0.209401764,2.616202561
5.775,-0.174456805,2.609921709
5.7875,-0.16197858,2.60219401
5.8,-0.159560101,2.594588972
5.8125,-0.161337364,2.587146765
5.825,-0.165229298,2.579768231
5.8375,-0.170446603,2.572374314
5.85,-0.176674709,2.564908915
5.8625,-0.183797917,2.557329936
5.875,-0.191796404,2.549602865
5.8875,-0.20070439,2.541696877
5.9,-0.210592477,2.533582434
5.9125,-0.221560648,2.525229698
5.925,-0.233736618,2.516607375
5.9375,-0.247277322,2.507681771
5.95,-0.262372671,2.498415937
5.9625,-0.279251364,2.488768812
5.975,-0.298188884,2.478694307
5.9875,-0.319518091,2.468140286
6,-0.343643123,2.457047398
